state,city,avg_PM25_lockdown,avg_PM25_pre_lockdown,percent_change
Madhya Pradesh,Bhopal,39.938039474949896,67.40067755518702,40.745344225584354
Bihar,Gaya,46.19132216806819,83.8135016561047,44.8879700103739
Chandigarh,Chandigarh,34.845667453664646,64.3459614662614,45.84638000640442
Andhra Pradesh,Vijayawada,12.806666666666668,24.267688933329126,47.227497839408784
Meghalaya,Shillong,16.736123989161396,33.56035800980872,50.131270994576674
Haryana,Palwal,37.403663825711504,91.50294003199674,59.122992318463
Uttar Pradesh,Hapur,39.04597540131671,95.98650212680785,59.32138942855419
Haryana,Bhiwani,29.436789179024114,76.27069315501006,61.40484901691171
Karnataka,Kolar,12.415,40.01443576552142,68.97369721080155
Andhra Pradesh,Anantapur,,,
Andhra Pradesh,Chittoor,,,
Andhra Pradesh,Kadapa,,,
Arunachal Pradesh,Naharlagun,16.350526527400373,,
Assam,Byrnihat,,,
Assam,Nagaon,,,
Assam,Nalbari,,,
Assam,Silchar,,,
Assam,Sivasagar,,,
Bihar,Araria,,,
Bihar,Arrah,,,
Bihar,Aurangabad,,,
Bihar,Begusarai,,,
Bihar,Bettiah,,,
Bihar,Bhagalpur,,,
Bihar,Bihar Sharif,,,
Bihar,Chhapra,,,
Bihar,Darbhanga,,,
Bihar,Hajipur,46.49667734493114,,
Bihar,Katihar,,,
Bihar,Kishanganj,,,
Bihar,Manguraha,,,
Bihar,Motihari,,,
Bihar,Munger,,,
Bihar,Purnia,,,
Bihar,Rajgir,,,
Bihar,Saharsa,,,
Bihar,Samastipur,,,
Bihar,Sasaram,,,
Bihar,Siwan,,,
Chhattisgarh,Bhilai,,,
Chhattisgarh,Bilaspur,,,
Chhattisgarh,Chhal,,,
Chhattisgarh,Korba,,,
Chhattisgarh,Kunjemura,,,
Chhattisgarh,Milupara,,,
Chhattisgarh,Raipur,,,
Chhattisgarh,Tumidih,,,
Gujarat,Nandesari,46.444163902289375,,
Gujarat,Surat,,,
Haryana,Charkhi Dadri,82.82303292921993,,
Himachal Pradesh,Baddi,,,
Jammu and Kashmir,Srinagar,40.01424348590733,,
Jharkhand,Dhanbad,,,
Jharkhand,Pathardih,,,
Karnataka,Bagalkot,26.599446887609112,,
Karnataka,Belgaum,,,
Karnataka,Bidar,40.19358109542908,,
Karnataka,Chikkamagaluru,23.87467607957162,,
Karnataka,Davanagere,10.745410958233773,,
Karnataka,Dharwad,,,
Karnataka,Gadag,29.744060343960722,,
Karnataka,Hassan,26.568998917221737,,
Karnataka,Haveri,,,
Karnataka,Karwar,,,
Karnataka,Koppal,18.496541005100994,,
Karnataka,Madikeri,21.671781864933156,,
Karnataka,Mangalore,34.32543471880589,,
Karnataka,Raichur,41.225218824108204,,
Karnataka,Shivamogga,27.489218379763706,,
Karnataka,Tumakuru,,,
Karnataka,Udupi,,,
Karnataka,Vijayapura,27.224994085316155,,
Kerala,Ernakulam,23.980392265433366,,
Kerala,Kannur,32.00750874764228,,
Kerala,Kochi,29.093524361637918,,
Kerala,Kollam,41.77446593644486,,
Kerala,Kozhikode,20.00272805816141,,
Kerala,Thrissur,32.958525728619456,,
Madhya Pradesh,Gwalior,58.740224364635935,,
Madhya Pradesh,Sagar,35.808527299173356,,
Maharashtra,Ahmednagar,,,
Maharashtra,Akola,,,
Maharashtra,Amravati,,,
Maharashtra,Badlapur,,,
Maharashtra,Belapur,,,
Maharashtra,Bhiwandi,,,
Maharashtra,Boisar,,,
Maharashtra,Dhule,,,
Maharashtra,Jalgaon,,,
Maharashtra,Jalna,,,
Maharashtra,Kolhapur,,,
Maharashtra,Latur,,,
Maharashtra,Mahad,,,
Maharashtra,Malegaon,,,
Maharashtra,Mira-Bhayandar,,,
Maharashtra,Nanded,,,
Maharashtra,Parbhani,,,
Maharashtra,Pimpri-Chinchwad,,,
Maharashtra,Sangli,,,
Maharashtra,Thane,,78.73640057775009,
Maharashtra,Ulhasnagar,,,
Maharashtra,Virar,,,
Manipur,Imphal,,,
Mizoram,Aizawl,19.37002954604298,,
Nagaland,Kohima,40.03903082152108,,
Odisha,Angul,,,
Odisha,Balasore,,,
Odisha,Barbil,,,
Odisha,Baripada,,,
Odisha,Bhubaneswar,,,
Odisha,Bileipada,,,
Odisha,Byasanagar,,,
Odisha,Cuttack,,,
Odisha,Keonjhar,,,
Odisha,Nayagarh,,,
Odisha,Rairangpur,,,
Odisha,Rourkela,,,
Odisha,Suakati,,,
Odisha,Tensa,,,
Puducherry,Puducherry,21.24051033398821,,
Rajasthan,Banswara,,,
Rajasthan,Baran,,,
Rajasthan,Barmer,,,
Rajasthan,Bharatpur,,,
Rajasthan,Bhilwara,,,
Rajasthan,Bikaner,,,
Rajasthan,Bundi,,,
Rajasthan,Chittorgarh,,,
Rajasthan,Churu,,,
Rajasthan,Dausa,,,
Rajasthan,Dholpur,,,
Rajasthan,Dungarpur,,,
Rajasthan,Hanumangarh,,,
Rajasthan,Jaisalmer,,,
Rajasthan,Jalore,,,
Rajasthan,Jhalawar,,,
Rajasthan,Jhunjhunu,,,
Rajasthan,Karauli,,,
Rajasthan,Nagaur,,,
Rajasthan,Pratapgarh,,,
Rajasthan,Rajsamand,,,
Rajasthan,Sawai Madhopur,,,
Rajasthan,Sikar,,,
Rajasthan,Sirohi,,,
Rajasthan,Sri Ganganagar,,,
Rajasthan,Tonk,,,
Sikkim,Gangtok,,,
Tamil Nadu,Ariyalur,,,
Tamil Nadu,Chengalpattu,,,
Tamil Nadu,Cuddalore,,,
Tamil Nadu,Dindigul,,,
Tamil Nadu,Gummidipoondi,49.04973122269945,,
Tamil Nadu,Hosur,,,
Tamil Nadu,Kanchipuram,,,
Tamil Nadu,Ooty,,,
Tamil Nadu,Palkalaiperur,,,
Tamil Nadu,Ramanathapuram,,,
Tamil Nadu,Salem,,,
Tamil Nadu,Thoothukudi,,,
Tamil Nadu,Tiruchirappalli,,,
Tamil Nadu,Tirupur,,,
Tamil Nadu,Vellore,,,
Tamil Nadu,Virudhunagar,,,
Tripura,Agartala,60.982262903732206,,
Uttar Pradesh,Bareilly,,,
Uttar Pradesh,Firozabad,,,
Uttar Pradesh,Gorakhpur,30.954000000000004,,
Uttar Pradesh,Jhansi,,,
Uttar Pradesh,Khurja,,,
Uttar Pradesh,Prayagraj,30.1553341832646,,
Uttar Pradesh,Vrindavan,,,
Uttarakhand,Dehradun,,,
Uttarakhand,Kashipur,,,
Uttarakhand,Rishikesh,,,
West Bengal,Barrackpore,,,
West Bengal,Durgapur,94.83493312783536,,
West Bengal,Haldia,,,
